event_id,title,home_team,away_team,event_slug,kickoff_utc,kickoff_beijing,target_pre1h_utc,raw_endDate,raw_startDate,home_price,draw_price,away_price,home_no_price,draw_no_price,away_no_price,home_price_method,draw_price_method,away_price_method,home_price_quality,draw_price_quality,away_price_quality,home_trade_count,draw_trade_count,away_trade_count,home_trade_volume,draw_trade_volume,away_trade_volume,home_price_age_seconds,draw_price_age_seconds,away_price_age_seconds,home_price_point_utc,draw_price_point_utc,away_price_point_utc,home_window_start_utc,draw_window_start_utc,away_window_start_utc,home_no_quality,draw_no_quality,away_no_quality,home_no_trade_count,draw_no_trade_count,away_no_trade_count,home_no_price_age,draw_no_price_age,away_no_price_age,home_odds,draw_odds,away_odds,home_prob_norm,draw_prob_norm,away_prob_norm,final_score,result_regular,match_ended,settled
351725,Côte d'Ivoire vs. Ecuador,Côte d'Ivoire,Ecuador,fifwc-civ-ecu-2026-06-14,2026-06-14T23:00:00+00:00,2026-06-15 07:00,2026-06-14T22:00:00+00:00,2026-06-14T23:00:00Z,2026-04-06T22:34:39.221031Z,0.27968717,0.33999492,0.38996844,0.73,0.67,0.61974574,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,103,176,688,25681.497023,12156.584658,74138.383644,0,0,0,2026-06-14T22:00:00+00:00,2026-06-14T22:00:00+00:00,2026-06-14T22:00:00+00:00,2026-06-14T21:57:00+00:00,2026-06-14T21:57:00+00:00,2026-06-14T21:57:00+00:00,high,high,high,6,3,12,6,14,26,3.5754,2.9412,2.5643,0.277,0.3367,0.3862,1-0,home,Y,Y
351726,Sweden vs. Tunisia,Sweden,Tunisia,fifwc-swe-tun-2026-06-14,2026-06-15T02:00:00+00:00,2026-06-15 10:00,2026-06-15T01:00:00+00:00,2026-06-15T02:00:00Z,2026-04-06T22:27:04.361232Z,0.50990365,0.28984964,0.2082783,0.49999891,0.71967908,0.8,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,91,13,14,27532.603206,458.269292,800.083318,0,2,3,2026-06-15T01:00:00+00:00,2026-06-15T00:59:58+00:00,2026-06-15T00:59:57+00:00,2026-06-15T00:57:00+00:00,2026-06-15T00:57:00+00:00,2026-06-15T00:57:00+00:00,high,fair,fair,5,33,28,0,75,333,1.9612,3.4501,4.8013,0.5058,0.2875,0.2066,5-1,home,Y,Y
351727,Spain vs. Cabo Verde,Spain,Cabo Verde,fifwc-esp-cvi-2026-06-15,2026-06-15T16:00:00+00:00,2026-06-16 00:00,2026-06-15T15:00:00+00:00,2026-06-15T16:00:00Z,2026-04-06T22:30:00.636492Z,0.92988194,0.05341091,0.02299767,0.07971831,0.94594934,0.978,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,44,4,19,14547.918075,225.328437,1825.109554,5,9,41,2026-06-15T14:59:55+00:00,2026-06-15T14:59:51+00:00,2026-06-15T14:59:19+00:00,2026-06-15T14:57:00+00:00,2026-06-15T14:57:00+00:00,2026-06-15T14:57:00+00:00,high,fair,medium,18,16,4,5,59,57,1.0754,18.7228,43.4827,0.9241,0.0531,0.0229,0-0,draw,Y,Y
351728,Belgium vs. Egypt,Belgium,Egypt,fifwc-bel-egy-2026-06-15,2026-06-15T19:00:00+00:00,2026-06-16 03:00,2026-06-15T18:00:00+00:00,2026-06-15T19:00:00Z,2026-04-06T22:34:39.427606Z,0.63985643,0.23987147,0.14990654,0.36887084,0.76966191,0.85993662,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,182,47,65,35612.045,3112.239943,14017.066592,0,0,0,2026-06-15T18:00:00+00:00,2026-06-15T18:00:00+00:00,2026-06-15T18:00:00+00:00,2026-06-15T17:57:00+00:00,2026-06-15T17:57:00+00:00,2026-06-15T17:57:00+00:00,high,high,high,170,3,31,0,111,0,1.5629,4.1689,6.6708,0.6214,0.233,0.1456,1-1,draw,Y,Y
351729,Saudi Arabia vs. Uruguay,Saudi Arabia,Uruguay,fifwc-ksa-ury-2026-06-15,2026-06-15T22:00:00+00:00,2026-06-16 06:00,2026-06-15T21:00:00+00:00,2026-06-15T22:00:00Z,2026-04-06T22:44:05.873415Z,0.11958025,0.21987539,0.67999578,0.88999384,0.79,0.33,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,77,42,86,9529.379917,7294.947215,174116.7034,2,2,0,2026-06-15T20:59:58+00:00,2026-06-15T20:59:58+00:00,2026-06-15T21:00:00+00:00,2026-06-15T20:57:00+00:00,2026-06-15T20:57:00+00:00,2026-06-15T20:57:00+00:00,medium,fair,high,7,12,28,6,105,5,8.3626,4.548,1.4706,0.1173,0.2157,0.667,1-1,draw,Y,Y
351730,IR Iran vs. New Zealand,IR Iran,New Zealand,fifwc-irn-nzl-2026-06-15,2026-06-16T01:00:00+00:00,2026-06-16 09:00,2026-06-16T00:00:00+00:00,2026-06-16T01:00:00Z,2026-04-06T22:38:23.66336Z,0.53843648,0.279708,0.19997873,0.47,0.72997222,0.80007444,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,43,15,19,1972.290678,2326.027129,4772.5,0,15,2,2026-06-16T00:00:00+00:00,2026-06-15T23:59:45+00:00,2026-06-15T23:59:58+00:00,2026-06-15T23:57:00+00:00,2026-06-15T23:57:00+00:00,2026-06-15T23:57:00+00:00,high,medium,high,4,3,3,26,54,9,1.8572,3.5752,5.0005,0.5289,0.2747,0.1964,2-2,draw,Y,Y
351731,France vs. Senegal,France,Senegal,fifwc-fra-sen-2026-06-16,2026-06-16T19:00:00+00:00,2026-06-17 03:00,2026-06-16T18:00:00+00:00,2026-06-16T19:00:00Z,2026-04-06T22:32:24.186989Z,0.67999832,0.2195231,0.12832913,0.33,0.79,0.88,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,69,14,19,216450.539289,238.223618,3072.069203,4,79,7,2026-06-16T17:59:56+00:00,2026-06-16T17:58:41+00:00,2026-06-16T17:59:53+00:00,2026-06-16T17:57:00+00:00,2026-06-16T17:57:00+00:00,2026-06-16T17:57:00+00:00,high,high,high,21,5,4,8,19,19,1.4706,4.5553,7.7925,0.6616,0.2136,0.1249,3-1,home,Y,Y
351732,Iraq vs. Norway,Iraq,Norway,fifwc-irq-nor-2026-06-16,2026-06-16T22:00:00+00:00,2026-06-17 06:00,2026-06-16T21:00:00+00:00,2026-06-16T22:00:00Z,2026-04-06T22:44:05.935885Z,0.06985663,0.1394089,0.80997597,0.94,0.87,0.19970094,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,28,33,54,8698.70997,5178.842826,4427.033234,26,10,4,2026-06-16T20:59:34+00:00,2026-06-16T20:59:50+00:00,2026-06-16T20:59:56+00:00,2026-06-16T20:57:00+00:00,2026-06-16T20:57:00+00:00,2026-06-16T20:57:00+00:00,medium,fair,high,7,17,15,158,1064,19,14.315,7.1731,1.2346,0.0685,0.1368,0.7947,1-4,away,Y,Y
351733,Argentina vs. Algeria,Argentina,Algeria,fifwc-arg-alg-2026-06-16,2026-06-17T01:00:00+00:00,2026-06-17 09:00,2026-06-17T00:00:00+00:00,2026-06-17T01:00:00Z,2026-04-06T22:38:23.694511Z,0.64995007,0.22993061,0.12985702,0.35979025,0.779967,0.88,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,111,58,23,13439.651355,3832.173449,2913.736892,1,4,4,2026-06-16T23:59:59+00:00,2026-06-16T23:59:56+00:00,2026-06-16T23:59:56+00:00,2026-06-16T23:57:00+00:00,2026-06-16T23:57:00+00:00,2026-06-16T23:57:00+00:00,high,high,high,14,12,12,10,14,7,1.5386,4.3491,7.7008,0.6437,0.2277,0.1286,3-0,home,Y,Y
351734,Austria vs. Jordan,Austria,Jordan,fifwc-aut-jor-2026-06-17,2026-06-17T04:00:00+00:00,2026-06-17 12:00,2026-06-17T03:00:00+00:00,2026-06-17T04:00:00Z,2026-04-06T22:46:26.949295Z,0.69995192,0.19533409,0.11060088,0.30999999,0.81,0.89010942,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,68,29,13,20378.712759,2736.23,2210.629687,2,2,0,2026-06-17T02:59:58+00:00,2026-06-17T02:59:58+00:00,2026-06-17T03:00:00+00:00,2026-06-17T02:57:00+00:00,2026-06-17T02:57:00+00:00,2026-06-17T02:57:00+00:00,high,fair,high,19,7,16,6,236,14,1.4287,5.1194,9.0415,0.6959,0.1942,0.11,3-1,home,Y,Y
351735,Portugal vs. DR Congo,Portugal,DR Congo,fifwc-prt-cdr-2026-06-17,2026-06-17T17:00:00+00:00,2026-06-18 01:00,2026-06-17T16:00:00+00:00,2026-06-17T17:00:00Z,2026-04-06T22:32:24.181937Z,0.76994909,0.16998815,0.08,0.24,0.84,0.93,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,91,21,10,7349.915763,4685.902911,743.0,1,4,37,2026-06-17T15:59:59+00:00,2026-06-17T15:59:56+00:00,2026-06-17T15:59:23+00:00,2026-06-17T15:57:00+00:00,2026-06-17T15:57:00+00:00,2026-06-17T15:57:00+00:00,high,medium,medium,5,3,6,16,166,142,1.2988,5.8828,12.5,0.7549,0.1667,0.0784,1-1,draw,Y,Y
351736,England vs. Croatia,England,Croatia,fifwc-eng-hrv-2026-06-17,2026-06-17T20:00:00+00:00,2026-06-18 04:00,2026-06-17T19:00:00+00:00,2026-06-17T20:00:00Z,2026-04-06T22:26:59.112345Z,0.57993671,0.25999999,0.17999182,0.43,0.74991453,0.83,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,74,37,151,14689.280236,2146.185333,17036.121074,1,2,1,2026-06-17T18:59:59+00:00,2026-06-17T18:59:58+00:00,2026-06-17T18:59:59+00:00,2026-06-17T18:57:00+00:00,2026-06-17T18:57:00+00:00,2026-06-17T18:57:00+00:00,medium,medium,high,12,3,5,2,76,10,1.7243,3.8462,5.5558,0.5686,0.2549,0.1765,4-2,home,Y,Y
351737,Ghana vs. Panama,Ghana,Panama,fifwc-gha-pan-2026-06-17,2026-06-17T23:00:00+00:00,2026-06-18 07:00,2026-06-17T22:00:00+00:00,2026-06-17T23:00:00Z,2026-04-06T22:29:56.521665Z,0.40952902,0.30994844,0.2997464,0.6,0.7,0.71,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,73,62,132,23079.645029,12282.021579,12092.156639,1,1,1,2026-06-17T21:59:59+00:00,2026-06-17T21:59:59+00:00,2026-06-17T21:59:59+00:00,2026-06-17T21:57:00+00:00,2026-06-17T21:57:00+00:00,2026-06-17T21:57:00+00:00,high,medium,high,7,5,9,23,68,1,2.4418,3.2263,3.3362,0.4018,0.3041,0.2941,1-0,home,Y,Y
351738,Uzbekistan vs. Colombia,Uzbekistan,Colombia,fifwc-uzb-col-2026-06-17,2026-06-18T02:00:00+00:00,2026-06-18 10:00,2026-06-18T01:00:00+00:00,2026-06-18T02:00:00Z,2026-04-06T22:46:21.802577Z,0.09520719,0.2,0.71647296,0.91,0.80999999,0.28999999,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,17,16,53,2114.0,572.61,6172.375457,13,2,4,2026-06-18T00:59:47+00:00,2026-06-18T00:59:58+00:00,2026-06-18T00:59:56+00:00,2026-06-18T00:57:00+00:00,2026-06-18T00:57:00+00:00,2026-06-18T00:57:00+00:00,medium,medium,high,8,3,3,8,92,10,10.5034,5.0,1.3957,0.0941,0.1977,0.7082,1-3,away,Y,Y
351739,Czechia vs. South Africa,Czechia,South Africa,fifwc-cze-rsa-2026-06-18,2026-06-18T16:00:00+00:00,2026-06-19 00:00,2026-06-18T15:00:00+00:00,2026-06-18T16:00:00Z,2026-04-06T22:44:01.187797Z,0.53944285,0.26999349,0.20859309,0.4699984,0.73840925,0.8,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,230,39,28,18029.469519,32552.434405,1919.099995,1,5,4,2026-06-18T14:59:59+00:00,2026-06-18T14:59:55+00:00,2026-06-18T14:59:56+00:00,2026-06-18T14:57:00+00:00,2026-06-18T14:57:00+00:00,2026-06-18T14:57:00+00:00,high,medium,high,40,5,4,4,59,38,1.8538,3.7038,4.794,0.5299,0.2652,0.2049,1-1,draw,Y,Y
351740,Switzerland vs. Bosnia-Herzegovina,Switzerland,Bosnia-Herzegovina,fifwc-che-bih-2026-06-18,2026-06-18T19:00:00+00:00,2026-06-19 03:00,2026-06-18T18:00:00+00:00,2026-06-18T19:00:00Z,2026-04-06T22:29:56.518735Z,0.62973089,0.23959973,0.14991353,0.3784164,0.76999995,0.86,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,91,33,29,9317.666031,2081.653297,3738.876634,1,1,1,2026-06-18T17:59:59+00:00,2026-06-18T17:59:59+00:00,2026-06-18T17:59:59+00:00,2026-06-18T17:57:00+00:00,2026-06-18T17:57:00+00:00,2026-06-18T17:57:00+00:00,high,high,high,10,8,3,8,14,71,1.588,4.1736,6.6705,0.6178,0.2351,0.1471,4-1,home,Y,Y
351741,Canada vs. Qatar,Canada,Qatar,fifwc-can-qat-2026-06-18,2026-06-18T22:00:00+00:00,2026-06-19 06:00,2026-06-18T21:00:00+00:00,2026-06-18T22:00:00Z,2026-04-06T22:44:01.402269Z,0.75955023,0.16998876,0.08999999,0.25,0.83463628,0.91999999,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,81,38,30,12521.85351,17629.187589,4332.54552,2,1,4,2026-06-18T20:59:58+00:00,2026-06-18T20:59:59+00:00,2026-06-18T20:59:56+00:00,2026-06-18T20:57:00+00:00,2026-06-18T20:57:00+00:00,2026-06-18T20:57:00+00:00,high,high,high,18,7,5,1,70,7,1.3166,5.8827,11.1111,0.745,0.1667,0.0883,6-0,home,Y,Y
351742,Mexico vs. Korea Republic,Mexico,Korea Republic,fifwc-mex-kr-2026-06-18,2026-06-19T01:00:00+00:00,2026-06-19 09:00,2026-06-19T00:00:00+00:00,2026-06-19T01:00:00Z,2026-04-06T22:26:59.067661Z,0.47995516,0.29999732,0.2399876,0.53,0.71,0.77,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,337,20,124,46829.197466,37367.166641,52356.674969,1,2,1,2026-06-18T23:59:59+00:00,2026-06-18T23:59:58+00:00,2026-06-18T23:59:59+00:00,2026-06-18T23:57:00+00:00,2026-06-18T23:57:00+00:00,2026-06-18T23:57:00+00:00,high,high,high,4,9,3,74,4,46,2.0835,3.3334,4.1669,0.4706,0.2941,0.2353,1-0,home,Y,Y
351743,United States vs. Australia,United States,Australia,fifwc-usa-aus-2026-06-19,2026-06-19T19:00:00+00:00,2026-06-20 03:00,2026-06-19T18:00:00+00:00,2026-06-19T19:00:00Z,2026-04-06T22:29:35.086944Z,0.59788306,0.22842892,0.18995699,0.4097581,0.77999522,0.81944222,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,91,19,18,6576.343257,531.296075,5003.724194,1,37,22,2026-06-19T17:59:59+00:00,2026-06-19T17:59:23+00:00,2026-06-19T17:59:38+00:00,2026-06-19T17:57:00+00:00,2026-06-19T17:57:00+00:00,2026-06-19T17:57:00+00:00,high,medium,high,10,4,4,5,55,43,1.6726,4.3777,5.2643,0.5883,0.2248,0.1869,2-0,home,Y,Y
351744,Scotland vs. Morocco,Scotland,Morocco,fifwc-sco-mar-2026-06-19,2026-06-19T22:00:00+00:00,2026-06-20 06:00,2026-06-19T21:00:00+00:00,2026-06-19T22:00:00Z,2026-04-06T22:29:55.016266Z,0.16,0.26993709,0.59996464,0.8499296,0.73998231,0.40998133,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,10,15,72,928.6875,4708.249611,35028.533258,4,13,8,2026-06-19T20:59:56+00:00,2026-06-19T20:59:47+00:00,2026-06-19T20:59:52+00:00,2026-06-19T20:57:00+00:00,2026-06-19T20:57:00+00:00,2026-06-19T20:57:00+00:00,high,fair,high,5,6,11,1,107,16,6.25,3.7046,1.6668,0.1554,0.2621,0.5825,0-1,away,Y,Y
351745,Brazil vs. Haiti,Brazil,Haiti,fifwc-bra-hai-2026-06-19,2026-06-20T00:30:00+00:00,2026-06-20 08:30,2026-06-19T23:30:00+00:00,2026-06-20T00:30:00Z,2026-04-06T22:31:24.681461Z,0.88975597,0.07825155,0.04291248,0.11029546,0.92195795,0.958,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,17,4,6,3531.068274,100.636452,857.009063,16,14,23,2026-06-19T23:29:44+00:00,2026-06-19T23:29:46+00:00,2026-06-19T23:29:37+00:00,2026-06-19T23:27:00+00:00,2026-06-19T23:27:00+00:00,2026-06-19T23:27:00+00:00,medium,medium,high,6,3,5,127,85,73,1.1239,12.7793,23.3032,0.8801,0.0774,0.0424,3-0,home,Y,Y
351746,Türkiye vs. Paraguay,Türkiye,Paraguay,fifwc-tur-par-2026-06-19,2026-06-20T03:00:00+00:00,2026-06-20 11:00,2026-06-20T02:00:00+00:00,2026-06-20T03:00:00Z,2026-04-06T22:25:06.577999Z,0.48087762,0.28999998,0.23982599,0.52052702,0.71999997,0.77,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,data_api_vwap_3m_pre_anchor,high,high,high,70,9,19,115457.308188,301.724123,2394.188312,2,44,5,2026-06-20T01:59:58+00:00,2026-06-20T01:59:16+00:00,2026-06-20T01:59:55+00:00,2026-06-20T01:57:00+00:00,2026-06-20T01:57:00+00:00,2026-06-20T01:57:00+00:00,high,medium,high,16,3,5,11,29,23,2.0795,3.4483,4.1697,0.4758,0.2869,0.2373,0-1,away,Y,Y
